Features,25%,50%,75%,count,max,mean,min,stddev,Num_Unique,Type,num_nan
Education,"","","",2240,PhD,"",2n Cycle,"",5,IntegerType,0
NumStorePurchases,3,5,8,2240,13,5.790178571428571,0,3.250958145674428,14,IntegerType,0
AcceptedCmp2,0,0,0,2240,1,0.013392857142857142,0,0.11497560625548417,2,StringType,0
Response,0,0,0,2240,1,0.14910714285714285,0,0.35627358640847934,2,StringType,0
MntWines,23,173,504,2240,1493,303.9357142857143,0,336.59739260537197,776,IntegerType,0
MntMeatProducts,16,67,232,2240,1725,166.95,0,225.7153725117536,558,IntegerType,0
ID,2826,5455,8427,2240,11191,5592.159821428571,0,3246.6621975643416,2240,IntegerType,0
AcceptedCmp3,0,0,0,2240,1,0.07276785714285715,0,0.2598130699218951,2,StringType,0
NumWebVisitsMonth,3,6,7,2240,20,5.316517857142857,0,2.42664500954729,16,IntegerType,0
AcceptedCmp1,0,0,0,2240,1,0.06428571428571428,0,0.24531597433401406,2,IntegerType,0
Z_Revenue,11,11,11,2240,11,11.0,11,0.0,1,IntegerType,0
Teenhome,0,0,1,2240,2,0.50625,0,0.5445382307698761,3,IntegerType,0
MntSweetProducts,1,8,33,2240,263,27.06294642857143,0,41.28049848785491,177,IntegerType,0
MntFruits,1,8,33,2240,199,26.302232142857143,0,39.773433764578584,158,IntegerType,0
NumDealsPurchases,1,2,3,2240,15,2.325,0,1.93223750085598,15,IntegerType,0
Marital_Status,"","","",2240,YOLO,"",Absurd,"",8,IntegerType,0
Dt_Customer,"","","",2240,31-12-2013,"",01-01-2013,"",663,IntegerType,0
Income,35246,51373,68487,2216,666666,52247.25135379061,1730,25173.076660901414,1974,IntegerType,24
Complain,0,0,0,2240,1,0.009375,0,0.09639116794449748,2,IntegerType,0
Year_Birth,1959,1970,1977,2240,1996,1968.8058035714287,1893,11.984069456885827,59,IntegerType,0
AcceptedCmp4,0,0,0,2240,1,0.07455357142857143,0,0.26272828485356176,2,IntegerType,0
summary,25%,50%,75%,count,max,mean,min,stddev,"",IntegerType,""
Kidhome,0,0,1,2240,2,0.44419642857142855,0,0.5383980977345935,3,IntegerType,0
AcceptedCmp5,0,0,0,2240,1,0.07276785714285715,0,0.2598130699218953,2,IntegerType,0
Z_CostContact,3,3,3,2240,3,3.0,3,0.0,1,IntegerType,0
MntGoldProds,9,24,56,2240,362,44.021875,0,52.1674389149973,213,IntegerType,0
MntFishProducts,3,12,50,2240,259,37.52544642857143,0,54.628979402878095,182,IntegerType,0
NumCatalogPurchases,0,2,4,2240,28,2.6620535714285714,0,2.9231006555397463,14,IntegerType,0
Recency,24,49,74,2240,99,49.109375,0,28.96245280837821,100,IntegerType,0
